"vsn","description","address","latitude","longitude"
"07A","AoT Chicago (S) [C] {UChicago}","UChicago, Oriental Museum Chicago IL",-87.597995,41.788979
"07B","AoT Chicago (S) [C]","Ashland Ave & Harrison St Chicago IL",-87.666599,41.8742
"07C","AoT Chicago (S) [C]","606 Path & Miwaukee Ave Chicago IL",-87.683022,41.9140942
"07D","AoT Chicago (S) [C]","93rd St & Cottage Grove Ave Chicago IL",-87.604647,41.729355
"07E","AoT Chicago (S) [C]","Cicero Ave & Madison St Chicago IL",-87.745268,41.880497
"07F","AoT Chicago (S) [C]","Damen Ave & Polk St Chicago IL",-87.67644,41.87148
"080","AoT Chicago (S) [C]","Broadway Ave & Lawrence Ave Chicago IL",-87.659672,41.96904
"081","AoT Chicago (S) [C]","Wallace St & Pershing Rd Chicago IL",-87.641054,41.823527
"082","AoT Chicago (S) [C]","Pulaski Rd & Addison St Chicago IL",-87.727382,41.946373
"083","AoT Chicago (S) [C]","Cottage Grove Ave & 95th St Chicago IL",-87.604482,41.722044
"085","AoT Chicago (S) [C]","Ashland Ave & 79th St Chicago IL",-87.663518,41.75034
"086","AoT Chicago (S) [C]","Damen Ave & Lawrence Ave Chicago IL",-87.679174,41.968757
"087","AoT Chicago (S) [C]","Cottage Grove Ave & 87th St Chicago IL",-87.604759,41.736593
"088","AoT Chicago (S) [C]","Clark St & Wilson Ave Chicago IL",-87.66672,41.965256
"089","AoT Chicago (S) [C]","Chicago Ave & Noble St Chicago IL",-87.662391,41.896157
"08B","AoT Chicago (S) [C] {UChicago}","UChicago Chicago IL",-87.598713,41.788608
"08C","AoT Chicago (S) [C]","Western Ave & Fullerton Ave Chicago IL",-87.687703,41.924903
"08D","AoT Chicago (S) [C]","Cicero Ave & Chicago Ave Chicago IL",-87.745817,41.895005
"08E","AoT Chicago (S) [C]","Cottage Grove Ave & 111th St Chicago IL",-87.609852,41.692769
"08F","AoT Chicago (S) [C]","Clark St & Montrose Ave Chicago IL",-87.665948,41.961622
"090A","AoT Chicago (S) [C]","Milwaukee & Belmont Chicago IL",-87.723801,41.939121
"090B","AoT Chicago (S) [C]","Elston and Cortland Chicago IL",-87.666406,41.916586
"091A","AoT Chicago (S) [C]","Halsted St & Division St Chicago IL",-87.648093,41.903632
"092","AoT Chicago (S) [C]","Kedzie Ave & 51st St Chicago IL",-87.703739,41.800846
"093","AoT Chicago (S) [C] {UChicago}","UChicago, Law School Chicago IL",-87.599623,41.795436
"094","AoT Chicago (S) [C]","Ohio St & Grand Ave Chicago IL",-87.6116431,41.8920031
"095","AoT Chicago (S) [C]","Ave O & 126th Chicago IL",-87.539374,41.666078
"096","AoT Chicago (S) [C]","Ave L & 100th St Chicago IL",-87.536509,41.713867
"097","AoT Chicago (S) [C]","Pulaski Rd & 71st St Chicago IL",-87.72242,41.764122
"098","AoT Chicago (S) [C]","Lake Shore Drive & Irving Park Rd Chicago IL",-87.645248,41.954825
"099","AoT Chicago (S) [C]","Torrence Ave & Brainard Ave Chicago IL",-87.559113,41.65849
"09A","AoT Chicago (S) [C]","Cottage Grove Ave & 115th St Chicago IL",-87.611081,41.685445
"09B","AoT Chicago (S) [C]","State St & Monroe St Chicago IL",-87.62775,41.88076
"09C","AoT Chicago (S) [C]","State St & Randolph St Chicago IL",-87.627864,41.884688
"09D","AoT Chicago (S) [C]","Ashland Ave & 31st Pl Chicago IL",-87.665685,41.839066
"0A0","AoT Chicago (S) [C]","Michigan Ave & Randolph St Chicago IL",-87.624577,41.884607
"0A1","AoT Chicago (S) [C]","Halsted St & 99th St Chicago IL",-87.643099,41.714494
"0A2","AoT Chicago (S) [C]","Western Ave & Addison St Chicago IL",-87.688326,41.947066
"0A3","AoT Chicago (S) [P]","Long Ave & Lawrence Ave Chicago IL",-87.76257,41.96759
"0A4","AoT Chicago (S) [P]","Western Ave & Roscoe Ave Chicago IL",-87.688069,41.943263
"0A5","AoT Chicago (S) [P]","Ashland Ave & Washington Chicago IL",-87.666748,41.883541
"0A6","AoT Chicago (S) [P]","N Wells St & W Washington St Chicago IL ",-87.63387,41.88326
"0A7","AoT Chicago (S) [P]","Upper Wacker Dr & Randolph St Chicago IL",-87.636955,41.88449
"0A9","AoT Chicago (S) [CP] {UChicago}","UChicago, Shapiro Hall Chicago IL",-87.587134,41.789737
"0AA","AoT Chicago (S) [P]","Dearborn St & Lake St Chicago IL",-87.62969,41.88575
"0AC","AoT Chicago (S) [C]","Lake Shore Drive & Fullerton Ave Chicago IL",-87.631533,41.92617
"890","AoT Chicago (S) [C] {UChicago}","UChicago, Regenstine Chicago IL",-87.600008,41.792543
